identifier;count
test;51903
x;49398
T;40124
m;33713
i;32904
nothing;26963
tf;21374
k;18073
name;17668
convert;16906
Base;16703
y;16309
desc;16108
Int;16019
f;15844
p;15634
n;15576
a;15502
v;15217
d;14404
A;13934
t;13777
Cint;13434
length;13293
u;12520
Vector;12477
integrator;12453
Float64;10838
b;10671
df;10404
j;9908
c;9817
model;9428
Ptr;8722
dt;8716
s;8389
CuPtr;8321
Tuple;8178
g;7888
io;7630
N;7608
testset;7534
Symbol;7474
typeof;7375
String;7307
res;7267
r;7174
size;7064
args;6947
grid;6731
Type;6592
z;6523
handle;6303
DataFrame;5852
Union;5760
Bool;5593
C;5289
state;5262
rand;5231
Any;5183
push!;5168
add_input;5007
B;4941
S;4893
value;4745
test_throws;4690
cache;4625
ccall;4574
data;4530
uprev;4528
Dict;4410
h;4395
include;4274
w;4160
alg;4086
Tensor;4074
Real;4072
initialize_api;4028
checked;3966
X;3910
zero;3848
endo;3832
dims;3766
tmp;3734
Array;3716
Cvoid;3704
node;3686
inline;3611
eltype;3545
D;3524
out;3492
Float32;3461
kwargs;3451
eq;3383
info;3370
Integer;3289
map;3251
alpha;3237
ex;3219
file;3171
op;3165
joinpath;3154
V;3142
println;3098
Nothing;3076
ArgumentError;3075
UInt32;3065
e;3057
isempty;2955
inferred;2946
zeros;2944
collect;2932
first;2898
sum;2896
error;2880
Setting;2873
throw;2857
input_;2801
elty;2795
prob;2792
version;2788
Int64;2780
Matrix;2777
atol;2752
id;2746
inbounds;2720
undef;2678
Val;2632
precompile;2624
EagerTensor;2537
get_setting;2537
Pkg;2497
U;2446
missing;2408
string;2395
key;2395
o;2383
AbstractArray;2355
xs;2329
I;2329
haskey;2311
l;2287
K;2284
dependencies;2263
path;2254
lda;2253
du;2245
F;2237
val;2229
CuArray;2213
T2;2178
Missing;2153
Ref;2132
view;2131
AbstractVector;2121
img;2118
identity;2103
nlsolver;2101
rng;2081
MOI;2063
Cdouble;2051
idx;2047
parent;2040
platforms;2031
fsalfirst;2028
ctx;2024
big;2010
var;2010
assert;2007
α;1996
pk;1991
opts;1987
beta;1984
color;1967
Cfloat;1963
index;1949
scene;1942
params;1939
UInt8;1932
print;1926
AbstractString;1924
write;1901
μ;1897
LibraryProduct;1893
exp;1879
script;1878
description;1878
pos;1873
k1;1866
copy;1840
BigInt;1834
sources;1832
tex_label;1818
R;1813
plot;1807
products;1804
notebook;1792
all;1792
read;1778
uplo;1772
Int32;1766
x_;1753
fixed;1750
result;1747
L;1730
β;1709
runtime_ccall;1706
Csize_t;1695
show;1694
rate_prototype;1687
output;1650
W;1644
parameter;1635
ModelConstructors;1632
keys;1627
Expr;1627
data_type;1614
get;1606
backend;1602
γ;1580
FT;1572
row;1564
raw;1553
JuMP;1552
eval;1550
Γ0;1537
Dependency;1533
J;1527
abs;1526
isapprox;1520
Number;1507
fill;1505
Y;1500
P;1499
DSGE;1496
sol;1492
arch;1486
rtol;1480
pkg;1472
M;1470
sdf;1463
descrA;1462
sys;1452
idxs;1451
θ;1446
max;1444
Function;1441
sim;1423
JJ;1414
x1;1412
q;1405
unpack;1402
buf;1381
gd;1376
err;1374
sp;1372
indices_;1368
solve;1351
ptr;1350
cuComplex;1345
vec;1328
cuDoubleComplex;1327
tTypeNoUnits;1326
Point;1325
DimensionMismatch;1318
verbose;1305
σ;1300
dtype;1294
Random;1290
uBottomEltypeNoUnits;1290
IO;1276
dts;1267
plt;1266
method;1265
sqrt;1259
Inf;1255
_;1253
df2;1246
isequal;1245
HTTP;1245
one;1243
CUDA;1243
col;1242
trace;1240
ax;1230
uEltypeNoUnits;1229
expr;1228
mode;1227
Test;1226
new;1223
mean;1223
im;1222
NamedTuple;1202
kernel;1200
Operation;1189
offset;1187
k2;1184
len;1176
parameters;1172
destats;1172
similar;1170
SVector;1170
ExecutableProduct;1161
layer;1157
obj;1157
scale;1152
NodeDescription;1146
with_op_name;1146
cols;1144
code;1141
ARGS;1140
uuid;1135
u0;1135
aes;1135
EagerOp;1134
execute;1133
uType;1120
arg;1117
in_eager_mode;1117
TapeNode;1116
add_node;1112
UUID;1100
ones;1100
label;1099
libcusparse;1097
input;1089
body;1087
nnz;1085
k3;1077
system;1073
cusparseStatus_t;1070
doc;1067
esc;1064
series;1060
min;1058
reltol;1058
enumerate;1056
graph;1056
values;1053
fname;1051
names;1051
rateType;1046
λ;1046
vcat;1045
variable;1045
gradient;1044
reshape;1039
d_A;1038
k4;1037
sin;1034
randn;1031
width;1031
Oceananigans;1030
p1;1028
trans;1021
log;1019
nx;1009
set_regime_val!;1004
options;1004
weights;1000
c2;991
dir;989
container;988
LinearAlgebra;987
src;986
maximum;986
str;985
x2;981
NTuple;973
MPI;972
build_tarballs;964
grad_;960
head;959
on;948
iter;946
cells;943
H;940
levels;936
pseudo;935
cusparseMatDescr_t;934
getindex;932
shape;931
SMatrix;929
text;929
Genie;928
nf;925
ns;925
atmp;924
shared_name;924
π;922
cusparseHandle_t;922
G;921
init;910
NaN;908
ldb;906
HDF5;904
dist;904
Q;901
Date;895
inputs;895
c1;894
fn;891
gdf;891
output_shapes;888
tab;887
AbstractMatrix;887
occursin;887
time;886
env;885
BinaryBuilder;882
itp;877
count;869
sz;868
p2;867
Z;866
filter;860
reg;856
fsallast;855
f1;851
Core;850
status;850
df1;850
warn;848
Platform;847
agent;842
Optim;840
output_types;840
range;840
context;837
cusolverStatus_t;834
libcusolver;834
plotattributes;833
fid;833
GR;831
closure;830
line;830
none;828
Normal;825
filename;824
height;823
md;822
use_locking;820
select;820
Θ;819
η;819
ν;807
pi;806
Gadfly;805
obs;805
ps;804
lwork;803
nxns;800
Not;799
source;796
cos;796
add_edge!;794
tnew;794
states;793
PackageSpec;790
choices;788
